Page number,Layout,Text,Reading Order,Confidence score % (Layout)
1,Figure 1,DEPARTMENT * LUNGSOD 1939 QUEZON,0,99.31640625
1,Header 1,Republic of the Philippines QUEZON CITY COUNCIL Quezon City 22nd City Council,1,88.427734375
1,Header 2,PO22CC-437,2,85.64453125
1,Header 3,100th Regular Session,3,57.763671875
1,Header 4,"ORDINANCE NO. SP- 3372 , S-2024",4,69.43359375
1,Text 1,"AN ORDINANCE ACCREDITING THE 128 NON-GOVERNMENTAL ORGANIZATIONS, PEOPLE'S ORGANIZATIONS, AND OTHER CIVIL SOCIETY ORGANIZATIONS PURSUANT TO THE PROVISIONS OF REPUBLIC ACT NO. 7160, OTHERWISE KNOWN AS THE LOCAL GOVERNMENT CODE OF 1991, AND ITS IMPLEMENTING RULES AND REGULATIONS, IN RELATION TO MEMORANDUM CIRCULAR NO. 2022-083 OF THE DEPARTMENT OF THE INTERIOR AND LOCAL GOVERNMENT (DILG)",5,86.962890625
1,Text 2,Introduced by Councilor ATTY. ANTON L. REYES,6,91.357421875
1,Text 3,"Co-Introduced by Councilors Bernard R. Herrera, Tany Joe ""TJ"" L. Calalay, Dorothy A. Delarmente, M.D., Joseph P. Juico, Nikki V. Crisologo, Charm M. Ferrer, Candy A. Medina, Aly Medalla, Dave C. Valmocina, Tatay Rannie Z. Ludovica, Godofredo T. Liban II, Kate Galang-Coseteng, Geleen ""Dok G"" G. Lumbad, Albert Alvin ""Chuckie"" L. Antonio III, Don S. De Leon, Wencerom Benedict C. Lagumbay, Edgar ""Egay"" G. Yap, Imee A. Rillo, Raquel S. Malangen, Irene R. Belmonte, Nanette Castelo-Daza, Marra C. Suntay, Joseph Joe Visaya, Alfred Vargas, MPA, Ram V. Medalla, Shaira ""Shay"" L. Liban, Aiko S. Melendez, Mutya Castelo, Maria Eleanor ""Doc Ellie"" R. Juan, O.D., Kristine Alexia R. Matias, RN, Eric Z. Medina, Emmanuel Banjo A. Pilar, Vito Sotto Generoso, Victor ""Vic"" Bernardo, Jose Maria M. Rodriguez and Jhon Angelli ""Sami"" C. Neri",7,98.046875
1,Text 4,"WHEREAS, Section 34 of Republic Act No. 7160, otherwise known as the Loal Government Code of 1991, provides that local government units shall promote the establishment and operations of Non-Governmental Organizations (NGOs) and People's Organizations (POs) to become active partners in the pursuit of local economy;",8,96.484375
1,Text 5,"WHEREAS, Article 62, Rule XIII of the Implementing Rules and Regulations (IRR) of the same Code mandates local government units to promote the establishment and operation of POs, NGOs, and private sectors, to make them active partners in the pursuit of local autonomy, and to directly involve them in the plans, programs, projects or activities of the local government unit, such as, but not limited to membership in local special bodies (LSBs) and involvement in the delivery of basic services and facilities;",9,93.798828125
1,Text 6,a,10,29.8979434967041
2,Header 5,100th Regular Session Ord. No. SP- 3372 S-2024 Page -2- PO22CC-437,11,60.693359375
2,Text 7,"WHEREAS, Article 64 of the said Code's IRR provides that the local Sanggunian concerned shall accredit the NGOs and POs, subject to the criteria and procedures provided therein for membership in the LSB;",12,95.361328125
2,Text 8,"WHEREAS, by virtue of the Local Government Code of 1991 and its IRR, Quezon City Ordinance No. SP-23, S-92 was enacted creating the NGO and PO Accreditation Committee to process the applications for accreditation of NGOs and POs;",13,93.84765625
2,Text 9,"WHEREAS, pursuant to the provisions of the same Code and its IRR, DILG Memorandum Circular No. 2022-083 and Quezon City Ordinance No. SP-23, S-92, as supplemented by Quezon City Ordinance No. SP-1494, S-2005, as amended by Quezon City Ordinance No. 3169, S-2023, and Ordinance No. SP-1942, S-2009, a call for Accreditation was made by the Quezon City Government through the City Vice Mayor, Honorable Gian G. Sotto;",14,96.142578125
2,Text 10,"WHEREAS, 128 NGOs, POs and other CSOs have applied for accreditation with the Quezon City Council, through the Barangay and Community Relations Department (BCRD);",15,93.1640625
2,Text 11,"WHEREAS, the applications of said organizations were processed and evaluated by the NGO and PO Accreditation Committee, and favorably recommended for their accreditation to the Quezon City Council.",16,95.654296875
2,Section_header 1,"NOW, THEREFORE,",17,38.037109375
2,Text 12,BE IT ORDAINED BY THE CITY COUNCIL OF QUEZON CITY IN REGULAR SESSION ASSEMBLED:,18,92.822265625
2,Text 13,"SECTION 1. 128 Non-Governmental Organizations (NGOs), People's Organizations (POs), and Civil Society Organizations (CSOs) are hereby accredited pursuant to the provisions of Republic Act No. 7160, otherwise known as the Local Government Code of 1991, and its Implementing Rules and Regulations (IRR). in relation to DILG Memorandum Circular No. 2022-083.",19,96.484375
2,Text 14,"SECTION 2. The 128 accredited organizations, within 30 days from the approval of this Ordinance, shall inform the Quezon City Council, through the Office of the Secretary to the Sangguniang Panlungsod (OSSP), with a copy furnished to the Barangay and Community Relations Department (BCRD), of any major changes in their organization, particularly with respect to their officers and office address. to",20,52.83203125
2,Text 15,q,21,60.205078125
2,Text 16,h,22,49.70703125
2,Text 17,9,23,98.93966674804688
3,Header 6,,24,42.626953125
3,Text 18,,25,96.97265625
3,Text 19,,26,75.78125
3,Text 20,,27,43.7744140625
3,Text 21,,28,85.205078125
3,Text 22,,29,80.2734375
3,Text 23,,30,81.689453125
3,Text 24,,31,83.837890625
3,Text 25,,32,84.86328125
3,Text 26,,33,58.59375
3,Text 27,,34,96.6796875
3,Text 28,,35,90.185546875
