Question_EN,Question_TL,Answer,Source,Category
What are the implications of converting an existing high school annex into a separate and independent high school in terms of administration and resource management?,Ano ang mga implikasyon ng pag-convert ng umiiral na annex ng paaralan sa isang hiwalay at independiyenteng mataas na paaralan sa aspeto ng administrasyon at pamamahala ng mga mapagkukunan?,"Converting an existing high school annex into a separate and independent high school involves transferring all assets, personnel, and records from the annex to the new independent school. This change means that the newly established high school will manage its own administration, resources, and operations independently from the original school. The transition is facilitated by maintaining the employment security of the current teaching and non-teaching staff as outlined by existing laws. Additionally, the city mayor is authorized to allocate necessary funds for the proper implementation and operation of the newly independent high school.","SP-3035, S-2021",Operative
"What assistance will the OFWs' Help Desk provide to families of distressed and displaced OFWs, particularly economically handicapped parents and minor children?","Anong tulong ang ibibigay ng OFWs' Help Desk sa mga pamilya ng mga distressed at displaced OFWs, partikular sa mga magulang na kulang sa pinansyal at menor-de-edad na mga anak?","The OFWs' Help Desk will provide assistance to families of distressed and displaced OFWs, particularly to their economically handicapped parents and minor children. This assistance can include efforts for employment assistance, protecting the welfare of the families, and facilitating economic productivity through investment or enterprise development initiatives with relevant Quezon City offices.","SP-3336, S-2024",Operative
What happens if the Farmers Market fails to comply with the conditions of its franchise granted by the Quezon City Council?,Ano ang mangyayari kung hindi makasunod ang Farmers Market sa mga kondisyon ng prangkisang ibinigay ng Konseho ng Lungsod ng Quezon?,"If the Farmers Market fails to comply with the conditions of its franchise or continuously violates the Revised Quezon City Market Code, Quezon City Revenue Code, and other applicable laws, rules, and regulations, it may have its franchise revoked or withdrawn by the City Government, after the observance of due process.","SP-9050, S-2022",Preamble
"What is the implication of including educational institutions in the term ""contractors"" for taxation purposes in Quezon City?","Ano ang magiging epekto ng pagsasama ng mga institusyong pang-edukasyon sa terminong ""kontraktor"" para sa layunin ng pagbubuwis sa Lungsod ng Quezon?","The inclusion of educational institutions in the term ""contractors"" for taxation purposes means that these institutions will now be taxed at the same rate as hospitals under the amended City Ordinance No. SP-1189, S-2002. This change aims to ensure that educational institutions are accorded the same treatment as hospitals in terms of taxation, thereby aligning their tax obligations with those of similar service providers.","SP-1766, S-2007",Preamble
What impact might the recognition of Mr. John Raynel Morales' film achievement have on aspiring filmmakers in Quezon City?,Anong epekto ang maaring idulot ng pagkilala sa tagumpay ni Mr. John Raynel Morales sa mga nagsisimulang film maker sa Quezon City?,The recognition of Mr. John Raynel Morales' film achievement serves as an inspiration for aspiring filmmakers to create quality films and share Filipino talent and stories with the world.,"SP-9012, S-2022",Preamble
What is the purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy?,Ano ang layunin ng pag-aampon ng Annual Investment Plan (AIP) sa estratehiya ng pananalapi ng Lungsod Quezon?,"The purpose of adopting an Annual Investment Plan (AIP) in Quezon City's fiscal strategy is to manage and financially support the Local Development Plan (LDP) and Local Development Investment Program (LDIP). It ensures that the city's programs and projects align with its development priorities and that the necessary funds are appropriated for their implementation, in accordance with existing laws, rules, and regulations.","SP-9075, S-2022",Preamble
"What are the implications of authorizing a Certificate of Exception for Victory Liner, Inc. regarding local zoning restrictions?","Ano ang mga implikasyon ng pag-awtorisa ng Certificate of Exception para sa Victory Liner, Inc. kaugnay ng mga lokal na zoning restriction?","Authorizing a Certificate of Exception for Victory Liner, Inc. allows the company to construct a three-storey office building at a specified location by deviating from certain restrictions under the Comprehensive Zoning Ordinance of 2016. This implies that while the project does not fully comply with existing zoning rules, it has been determined not to adversely affect public health, safety, and welfare and aligns with the development pattern of the area. This decision is supported by the absence of objections from the local barangay and residents and is contingent upon the company's compliance with public safety, environmental, and traffic regulations.","SP-8980, S-2022",Operative
What is the condition for senior citizens and PWDs to use the designated parking spaces in Quezon City-owned establishments?,Ano ang kondisyon para magamit ng mga senior citizen at PWDs ang itinalagang parking spaces sa mga pag-aaring establisimyento ng Lungsod Quezon?,"Senior citizens and persons with disabilities (PWDs) are entitled to use the designated ""Senior Citizens and PWDs Parking Space"" only if they are the ones driving the vehicle that will be parked in the allotted space.","SP-2414, S-2015",Operative
What authority does the City Mayor have regarding the enforcement of curfew hours in Quezon City as outlined in the ordinance?,Anong awtoridad ang mayroon ang Alkalde ng Lungsod patungkol sa pagpapatupad ng mga oras ng curfew sa Quezon City ayon sa ordinansa?,"The City Mayor is granted the authority to suspend the enforcement of the curfew ordinance and has the power to reinstate it if there is a surge in COVID-19 cases. The Mayor can reimpose the curfew for times recommended by the Metro Manila Council or as deemed reasonable under the circumstances. Additionally, the Mayor is authorized to declare or impose other emergency measures necessary to quickly address the public health emergency, in accordance with applicable laws and regulations.","SP-3061, S-2021",Operative
What is the responsibility of the Tricycle Regulation Division as outlined in this ordinance?,Ano ang responsibilidad ng Tricycle Regulation Division ayon sa ordinansyang ito?,The Tricycle Regulation Division is tasked with ensuring the strict implementation of the ordinance and is granted plenary powers and authority to carry out its provisions.,"SP-3083, S-2021",Operative
What are the requirements for a centenarian resident of Quezon City to receive recognition and rewards from the city government?,Ano ang mga kinakailangang kondisyon para sa isang centenarian na residente ng Lungsod Quezon na makatanggap ng pagkilala at gantimpala mula sa pamahalaang lungsod?,"To receive recognition and rewards, centenarian residents of Quezon City must register at the Office of the Senior Citizens Affairs (OSCA) for proper identification and documentation, prove they are bona fide residents of Quezon City, and present proper and authentic documents. Upon meeting these conditions, the city government will grant each centenarian a cash incentive of Ten Thousand Pesos (P10,000.00).","SP-1986, S-2009",Operative
What is the importance of establishing geriatric wards in hospitals as mentioned in the resolution?,Ano ang kahalagahan ng pagtatayo ng mga geriatrikong ward sa mga ospital gaya ng binanggit sa resolusyon?,"The resolution highlights the importance of establishing geriatric wards to provide specialized healthcare tailored to the needs of senior citizens due to their higher prevalence and incidence of diseases, and their requirement for long-term and constant care. Geriatric wards are intended to accommodate the unique health conditions and limitations of the elderly population, ensuring they receive appropriate medical attention without the necessity to navigate the general healthcare system, which may not be adequately equipped to handle the complex and chronic health issues of older individuals.","Sp-9056, S-2022",Operative
What happens if the Farmers Market does not fulfill the conditions of their market franchise?,Ano ang mangyayari kung hindi matupad ng Farmers Market ang mga kondisyon ng kanilang market franchise?,"If the Farmers Market does not fulfill the conditions of their market franchise or continues to violate the Revised Quezon City Market Code, the Quezon City Revenue Code, and other applicable laws, rules, and regulations, the franchise granted can be revoked or withdrawn by the City Government after due process is observed.","SP-9050, S-2022",Preamble
"What are the potential implications for local governance when NGOs, POs, and CSOs become accredited partners with a local government unit?","Ano ang mga posibleng implikasyon para sa lokal na pamahalaan kapag ang mga NGO, PO, at CSO ay naging akreditadong kasosyo ng isang yunit ng lokal na pamahalaan?","When NGOs, POs, and CSOs become accredited partners with a local government unit, it allows these organizations to be directly involved in local governance processes. This accreditation means they can participate in local decision-making, contribute to the planning and implementation of local projects and programs, and become members of local special bodies (LSBs). Such involvement can enhance the effectiveness and responsiveness of local governance, as it integrates community-driven perspectives and resources into public administration.",SP-3372-S-2024,Preamble
What authority does the City Mayor have in relation to the ordinance protecting children against COVID-19 in Quezon City under the Alert Level 1 status?,Anong kapangyarihan ang mayroon ang City Mayor kaugnay ng ordinansa sa proteksyon ng mga bata laban sa COVID-19 sa Quezon City sa ilalim ng Alert Level 1 status?,"The City Mayor has the authority to restore the enforcement of the ordinance regarding the protection of children against COVID-19 by issuing a Memorandum, if necessary, according to the further guidelines or policies from relevant national government agencies or for health-related exigencies.","SP-3102, S-2022",Operative
What is the purpose of creating a committee to deliver the resolution and fetch the City Mayor for the 44th Regular Session?,Ano ang layunin ng paglikha ng komite upang ihatid ang resolusyon at sunduin ang Punong Lungsod para sa Ika-44 Regular na Sisyon?,"The purpose of creating a committee is to ensure that the resolution informing the City Mayor of the 44th Regular Session is personally delivered to her, and to escort her to the Carlos Albert Session Hall for her 2nd State of the City Address, ensuring her participation in this important event.","SP-8306, S-2020",Operative
